path	size	mtime	sha256	classification	groupe_sha256
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/_bibliotheque_modules/production_copies/test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/_bibliotheque_modules/research_copies/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/_bibliotheque_modules/snapshots/2026-04-23_21-34-30/racine/test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/_bibliotheque_modules/snapshots/2026-04-23_21-34-30/research/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/palette_claude/test_27d_4approches.py	14220	2026-04-21 12:35:28 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/research/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./AUDIT_CHRONO_SERAGONE_TOTAL_20260501_101502/contenu/test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./_bibliotheque_modules/production_copies/test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./_bibliotheque_modules/research_copies/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./_bibliotheque_modules/snapshots/2026-04-23_21-34-30/racine/test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./_bibliotheque_modules/snapshots/2026-04-23_21-34-30/research/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	AUTRE_COPY	G01
./palette_claude/test_27d_4approches.py	14220	2026-04-21 12:35:28 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	PALETTE_CLAUDE_COPY	G01
./research/test_27d_4approches.py	14220	2026-04-22 23:20:00 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	RESEARCH_CANONIQUE_CANDIDATE	G01
./test_27d_4approches.py	14220	2026-04-16 06:56:55 UTC	2debd5d63c04d64ca8311e7f316c282e5c1ba32b2ced8056334b9bd9364ae36f	RACINE_CANONIQUE_CANDIDATE	G01
